target,kepid,tce_plnt_num,label,period,epoch,duration_hours,original_label
KIC_2714947,2714947,1,0,0.968245,132.456,5.362,AFP
KIC_2714954,2714954,1,0,0.968155,132.518,1.23,AFP
KIC_2722074,2722074,1,0,1.93859,131.79,7.168,NTP
KIC_2854698,2854698,1,1,8.18736,138.061,3.019,PC
KIC_2854698,2854698,2,1,76.051,161.706,6.691,PC
KIC_2854914,2854914,1,1,25.9341,149.761,4.779,PC
KIC_2854914,2854914,2,1,83.4463,158.682,6.621,PC
KIC_2987660,2987660,2,0,0.904939,132.327,5.193,NTP
KIC_2988145,2988145,1,0,1.23358,132.362,4.5,AFP
KIC_2988145,2988145,2,0,1.23355,131.563,4.36,AFP
KIC_2992648,2992648,2,0,3.23279,133.681,5.294,AFP
KIC_2992648,2992648,3,0,3.23213,132.619,6.282,AFP
KIC_2855603,2855603,2,0,0.758263,131.955,2.344,AFP
KIC_2856756,2856756,1,0,0.641049,131.645,1.891,AFP
KIC_2857323,2857323,2,0,0.548762,131.962,1.342,AFP
KIC_2857607,2857607,1,1,41.8668,147.006,5.656,PC
KIC_2857722,2857722,1,0,0.630084,132.139,1.11,AFP
KIC_2857722,2857722,2,0,0.630087,131.709,0.8888,AFP
KIC_2860114,2860114,1,0,0.941598,132.037,0.9807,AFP
KIC_2860594,2860594,1,0,5.49994,132.816,10.08,AFP
KIC_2860594,2860594,3,0,5.50026,136.528,15.24,AFP
KIC_2860594,2860594,4,0,5.50012,134.535,15.0,AFP
KIC_2307199,2307199,2,0,13.4457,133.221,21.53,AFP
KIC_2860851,2860851,1,0,1.19676,132.024,1.656,AFP
KIC_2860851,2860851,2,0,1.19686,132.548,1.8,AFP
KIC_2439798,2439798,1,0,459.313,260.216,2.587,NTP
KIC_2969628,2969628,2,0,1.97363,131.957,1.905,AFP
KIC_2969628,2969628,3,0,1.97363,132.653,1.789,AFP
KIC_2969638,2969638,1,0,1.97361,131.935,3.286,AFP
KIC_2554867,2554867,3,0,0.72386,131.837,2.967,AFP
KIC_2970804,2970804,1,0,0.686988,131.667,1.301,AFP
KIC_2971415,2971415,2,0,7.35389,136.198,15.45,AFP
KIC_2693450,2693450,1,0,0.847716,131.731,3.172,AFP
KIC_2974858,2974858,1,0,0.996298,131.835,3.803,NTP
KIC_2975770,2975770,1,1,71.5254,191.691,5.972,PC
KIC_2714955,2714955,1,0,0.982769,132.08,5.315,NTP
KIC_2985398,2985398,1,0,0.582576,131.682,1.251,AFP
KIC_2985398,2985398,2,0,0.581897,132.026,0.6458,AFP
KIC_2985587,2985587,1,1,3.37572,134.213,1.293,PC
KIC_2985767,2985767,1,1,14.0797,139.958,1.44,PC
KIC_2988768,2988768,1,0,459.312,260.216,3.797,NTP
KIC_2989404,2989404,1,1,3.55382,134.644,3.036,PC
KIC_1294670,1294670,1,0,0.593624,131.759,1.855,AFP
KIC_1294670,1294670,2,0,0.593647,132.05,2.318,AFP
KIC_1576115,1576115,2,0,1.81441,132.603,3.315,AFP
KIC_1867630,1867630,1,0,1.38953,131.995,6.144,NTP
KIC_2019477,2019477,2,1,20.5715,149.246,14.5,PC
KIC_2019477,2019477,4,0,3.02213,134.327,9.04,NTP
KIC_2167890,2167890,1,0,2.64829,133.038,2.649,AFP
KIC_2167890,2167890,2,0,2.64828,131.718,1.916,AFP
KIC_2307206,2307206,1,0,204.029,253.54,10.5,AFP
KIC_2307206,2307206,2,0,204.033,152.963,11.69,AFP
KIC_2307415,2307415,1,1,4.61264,132.782,3.075,PC
KIC_2307415,2307415,2,1,13.1216,133.394,3.504,PC
KIC_2440757,2440757,1,0,2.86751,131.696,0.9959,AFP
KIC_2440757,2440757,2,0,2.8675,133.132,0.7864,AFP
KIC_2441151,2441151,1,0,2.19199,132.22,2.273,AFP
KIC_2441161,2441161,1,0,2.19202,132.212,3.017,AFP
KIC_2556650,2556650,1,1,2.85236,132.043,0.8872,PC
KIC_2578404,2578404,1,0,0.872278,132.028,4.317,AFP
KIC_2578404,2578404,2,0,0.872247,132.266,3.171,AFP
KIC_2578811,2578811,1,0,6.20972,135.254,2.768,NTP
KIC_2578891,2578891,1,0,2.32728,132.235,3.182,NTP
KIC_2693450,2693450,2,0,0.847666,132.188,2.875,AFP
KIC_2693736,2693736,1,1,12.124,134.956,3.307,PC
KIC_2694337,2694337,1,0,0.812927,131.928,2.177,AFP
KIC_2694337,2694337,2,0,0.812865,132.269,6.151,AFP
KIC_2715053,2715053,1,0,0.968256,131.505,4.51,AFP
KIC_2715113,2715113,1,0,0.968253,132.441,5.039,AFP
KIC_2715119,2715119,1,0,0.968286,132.454,3.561,AFP
KIC_2715135,2715135,1,1,5.74772,133.298,1.884,PC
KIC_2830919,2830919,1,0,1.54039,132.005,1.876,AFP
KIC_2831055,2831055,1,1,2.20925,131.901,2.607,PC
KIC_2854948,2854948,1,0,0.974299,132.386,0.9358,NTP
KIC_2854953,2854953,2,0,1.7248,133.144,3.716,NTP
KIC_1295289,1295289,1,0,459.319,260.207,3.95,NTP
KIC_1295546,1295546,1,0,1.96443,133.301,3.723,AFP
KIC_1295546,1295546,2,0,1.96449,132.233,11.41,AFP
KIC_1296164,1296164,1,0,1.96786,132.225,0.5097,AFP
KIC_1576115,1576115,3,0,1.81438,133.205,3.492,AFP
KIC_1576115,1576115,4,0,1.8143,132.012,6.0,AFP
KIC_1576144,1576144,1,0,2.68671,132.152,1.867,AFP
KIC_1869607,1869607,1,0,12.0604,135.979,19.8,AFP
KIC_1869607,1869607,2,0,12.0587,133.893,17.35,AFP
KIC_1870398,1870398,1,1,43.1593,132.029,21.26,PC
KIC_1870849,1870849,1,0,0.53452,131.976,1.501,AFP
KIC_2021440,2021440,1,0,7.81154,136.327,5.339,AFP
KIC_2168333,2168333,2,0,0.629072,131.733,1.164,NTP
KIC_2307533,2307533,1,0,3.76213,134.266,4.358,AFP
KIC_2307533,2307533,3,0,3.76232,135.231,7.347,AFP
KIC_2308603,2308603,1,0,459.313,260.213,6.118,NTP
KIC_2441495,2441495,1,1,12.4934,138.462,2.238,PC
KIC_2441728,2441728,1,0,0.85688,131.969,1.277,AFP
KIC_2557816,2557816,1,1,9.37889,138.938,3.328,PC
KIC_2578901,2578901,1,0,2.32694,132.72,1.916,AFP
KIC_2578901,2578901,2,0,2.32852,131.776,7.23,AFP
KIC_2695030,2695030,1,0,0.678443,131.959,2.102,AFP
KIC_2695030,2695030,2,0,0.678468,131.607,2.496,AFP
KIC_2695110,2695110,1,0,44.1894,165.801,6.733,AFP
KIC_2696703,2696703,1,1,6.09405,133.66,1.81,PC
KIC_2715135,2715135,2,0,0.968314,132.349,6.073,AFP
KIC_2715228,2715228,1,0,0.968208,132.463,3.071,AFP
KIC_2715245,2715245,1,0,1.93654,133.401,5.276,AFP
KIC_2831251,2831251,1,0,5.8131,131.531,3.662,AFP
KIC_2832589,2832589,1,1,10.8497,136.744,3.842,PC
KIC_2832753,2832753,1,0,3.5511,134.926,5.849,AFP
KIC_2832753,2832753,2,0,3.55131,132.289,4.369,AFP
KIC_2856756,2856756,2,0,0.640994,131.862,1.991,AFP
KIC_2856756,2856756,3,0,0.641043,132.078,1.448,AFP
KIC_2857323,2857323,1,0,0.548548,131.906,1.789,AFP
KIC_1296164,1296164,2,0,1.96089,132.352,2.722,AFP
KIC_1296164,1296164,3,0,1.96131,133.129,5.339,AFP
KIC_1429120,1429120,1,0,0.760632,132.258,1.479,AFP
KIC_1576144,1576144,2,0,2.68674,132.362,1.978,AFP
KIC_1870849,1870849,2,0,0.796828,132.073,2.534,AFP
KIC_1870849,1870849,3,0,0.796837,131.769,2.439,AFP
KIC_1870849,1870849,4,0,0.534527,131.605,1.5,AFP
KIC_1871056,1871056,1,1,40.8063,155.721,13.17,PC
KIC_2021440,2021440,2,0,7.81157,131.53,2.908,AFP
KIC_2141783,2141783,1,1,116.52,144.147,3.563,PC
KIC_2282763,2282763,1,0,1.05344,131.592,3.19,NTP
KIC_2282763,2282763,2,0,0.688266,131.723,1.598,NTP
KIC_2282763,2282763,3,0,3.76167,133.821,2.766,NTP
KIC_2308957,2308957,1,0,1.10982,132.165,3.5,NTP
KIC_2309568,2309568,1,0,373.85,430.816,12.18,NTP
KIC_2309568,2309568,2,0,5.47403,132.68,14.51,NTP
KIC_2309579,2309579,1,0,1.04369,132.548,3.327,AFP
KIC_2442084,2442084,1,0,49.7886,175.193,7.398,AFP
KIC_2442084,2442084,2,0,49.7886,134.385,3.776,AFP
KIC_2442118,2442118,1,0,1.22148,132.013,3.905,AFP
KIC_2442118,2442118,2,0,1.22172,132.725,2.669,AFP
KIC_2442359,2442359,1,0,0.552831,131.757,1.176,AFP
KIC_2558163,2558163,1,1,17.5436,138.919,6.894,PC
KIC_2558363,2558363,1,0,0.546234,131.598,1.05,AFP
KIC_2558370,2558370,1,1,0.54625,131.581,1.073,PC
KIC_2579043,2579043,1,1,6.31216,136.936,4.847,PC
KIC_2579147,2579147,1,0,7.35291,134.201,12.5,AFP
KIC_2579147,2579147,2,0,14.7061,144.903,15.51,NTP
KIC_2579147,2579147,3,0,7.35317,132.269,15.04,AFP
KIC_2696938,2696938,1,0,573.587,131.578,10.46,NTP
KIC_2707097,2707097,1,0,0.692797,131.897,0.5059,AFP
KIC_2715282,2715282,1,0,0.968163,132.491,5.249,AFP
KIC_2715398,2715398,1,0,0.968354,132.341,4.116,AFP
KIC_2715487,2715487,1,0,0.700442,131.88,1.615,AFP
KIC_2715487,2715487,2,0,0.700452,132.064,1.709,AFP
KIC_2833554,2833554,1,0,2.08014,133.347,5.775,AFP
KIC_2833554,2833554,2,0,2.08023,132.257,7.487,AFP
KIC_2857722,2857722,3,0,0.630106,131.901,0.717,AFP
KIC_2859299,2859299,1,0,0.643683,131.992,0.9114,AFP
KIC_2859299,2859299,2,0,0.643679,131.68,1.023,AFP
KIC_1429120,1429120,2,0,0.760636,131.907,3.041,AFP
KIC_1429589,1429589,1,1,38.1688,144.468,6.769,PC
KIC_1429653,1429653,1,0,2.33824,133.096,6.703,AFP
KIC_1576558,1576558,1,0,3.79584,134.649,15.38,NTP
KIC_1577039,1577039,1,0,3.07312,132.668,4.649,AFP
KIC_1577039,1577039,2,0,3.07306,133.824,2.368,AFP
KIC_1871056,1871056,2,1,140.103,216.217,17.94,PC
KIC_2141938,2141938,1,0,1.2538,132.448,2.688,AFP
KIC_2141938,2141938,2,0,1.25373,131.946,4.735,AFP
KIC_2142522,2142522,1,1,13.3235,134.037,3.952,PC
KIC_2283124,2283124,1,0,0.611056,132.097,1.468,AFP
KIC_2283124,2283124,2,0,0.611014,131.778,2.067,AFP
KIC_2283362,2283362,1,0,0.673138,131.69,1.07,AFP
KIC_2309579,2309579,2,0,1.04366,131.779,2.109,AFP
KIC_2309585,2309585,1,0,1.83852,132.095,1.5,AFP
KIC_2309587,2309587,1,0,1.83851,132.102,3.109,AFP
KIC_2309719,2309719,1,1,54.3563,164.07,6.378,PC
KIC_2442448,2442448,1,1,76.6135,153.799,9.547,PC
KIC_2443393,2443393,1,1,73.7097,202.806,10.36,PC
KIC_2558488,2558488,1,0,1.28785,132.403,3.514,NTP
KIC_2568971,2568971,1,0,5.08857,134.059,4.612,NTP
KIC_2579814,2579814,1,0,2.79091,133.906,11.37,NTP
KIC_2580872,2580872,1,0,15.9266,145.552,5.0,AFP
KIC_2707479,2707479,2,0,0.950029,132.165,3.034,AFP
KIC_2707479,2707479,3,0,0.95013,131.606,3.5,AFP
KIC_2707916,2707916,1,0,1.89129,132.676,3.549,AFP
KIC_2715695,2715695,1,1,4.0958,131.618,1.726,PC
KIC_2715695,2715695,2,1,7.55877,137.966,1.108,PC
KIC_2716801,2716801,1,1,42.5215,136.134,6.096,PC
KIC_2835657,2835657,1,0,0.761739,131.957,1.458,NTP
KIC_2837111,2837111,1,1,8.73486,135.085,4.357,PC
KIC_2860656,2860656,1,1,4.11492,135.327,3.12,PC
KIC_2860793,2860793,1,0,2.62986,132.074,4.058,AFP
KIC_2860793,2860793,2,0,3.72882,132.441,5.602,NTP
KIC_1429653,1429653,2,0,2.33844,132.286,7.424,AFP
KIC_1430207,1430207,1,0,399.527,490.221,11.73,NTP
KIC_1430590,1430590,1,0,0.693353,131.982,1.909,NTP
KIC_1577039,1577039,3,0,3.07338,131.559,5.531,AFP
KIC_1577039,1577039,4,0,3.07309,133.661,7.645,AFP
KIC_1872821,1872821,1,1,10.2738,134.651,3.125,PC
KIC_1872948,1872948,1,0,1.38606,131.646,3.533,AFP
KIC_1872948,1872948,2,0,1.38635,131.743,5.069,AFP
KIC_2157489,2157489,1,0,1.35724,132.48,3.918,AFP
KIC_2283362,2283362,2,0,0.673128,132.017,1.815,AFP
KIC_2297728,2297728,1,0,1.80016,132.679,5.861,NTP
KIC_2297728,2297728,2,0,0.535446,131.683,1.483,NTP
KIC_2309910,2309910,1,0,1.84362,132.305,4.566,AFP
KIC_2310284,2310284,1,0,1.39938,132.621,4.218,NTP
KIC_2444412,2444412,1,1,14.9112,141.325,3.45,PC
KIC_2445129,2445129,1,0,10.3188,132.04,2.911,AFP
KIC_2568971,2568971,4,0,0.508855,131.942,1.5,NTP
KIC_2569488,2569488,1,0,1.52327,132.335,3.246,AFP
KIC_2569494,2569494,1,0,1.52333,132.312,4.571,AFP
KIC_2569516,2569516,1,0,45.5829,138.675,3.38,AFP
KIC_2580872,2580872,2,0,15.9266,137.042,11.11,AFP
KIC_2580872,2580872,3,0,15.9265,144.648,1.5,AFP
KIC_2581191,2581191,1,0,1.99044,132.712,2.972,AFP
KIC_2707985,2707985,1,0,1.89129,132.686,4.669,AFP
KIC_2708172,2708172,1,0,1.89117,132.758,4.412,AFP
KIC_2716853,2716853,1,1,18.8274,139.709,4.622,PC
KIC_2717158,2717158,1,1,13.2226,144.298,4.037,PC
KIC_2846358,2846358,2,0,2.3922,132.737,7.486,NTP
KIC_2846358,2846358,3,0,1.10611,131.908,3.564,NTP
KIC_2849140,2849140,1,1,11.8233,139.463,8.043,PC
KIC_2860866,2860866,1,1,90.1249,175.979,12.54,PC
KIC_2860930,2860930,1,0,459.269,260.303,2.881,NTP
KIC_1430741,1430741,1,0,1.41664,132.075,4.194,AFP
KIC_1430741,1430741,2,0,1.41676,131.538,4.581,AFP
KIC_1431122,1431122,1,1,4.29894,132.858,2.235,PC
KIC_1717528,1717528,1,0,9.31395,135.775,0.9989,NTP
KIC_1717722,1717722,1,1,4.53703,132.181,1.767,PC
KIC_1717722,1717722,2,1,0.977284,131.716,1.54,PC
KIC_1718189,1718189,1,1,21.8536,144.32,3.496,PC
KIC_1872948,1872948,3,0,1.38581,132.69,5.25,AFP
KIC_1873513,1873513,1,1,3.29038,131.878,1.775,PC
KIC_2157489,2157489,2,0,1.35734,131.758,2.806,AFP
KIC_2158190,2158190,1,0,0.984451,131.564,2.927,NTP
KIC_2158208,2158208,2,0,0.768036,131.521,2.501,AFP
KIC_2297739,2297739,1,0,1.61112,132.641,6.008,NTP
KIC_2297739,2297739,2,0,4.16026,135.34,12.33,NTP
KIC_2297793,2297793,1,0,459.137,260.363,15.58,NTP
KIC_2422539,2422539,1,0,118.244,223.767,9.482,NTP
KIC_2436378,2436378,1,0,8.53161,136.278,2.913,AFP
KIC_2445129,2445129,2,0,10.3186,134.833,3.799,AFP
KIC_2445134,2445134,1,0,8.41201,139.649,5.402,AFP
KIC_2445134,2445134,2,0,8.41201,135.448,5.138,AFP
KIC_2445154,2445154,1,0,8.41217,139.632,4.103,AFP
KIC_2570281,2570281,1,0,14.4713,145.93,11.49,AFP
KIC_2570281,2570281,2,0,14.4712,145.374,28.79,AFP
KIC_2570432,2570432,1,0,1.89145,132.592,5.72,AFP
KIC_2570505,2570505,1,0,1.89126,132.69,4.825,AFP
KIC_2581316,2581316,1,1,217.832,238.82,21.34,PC
KIC_2581316,2581316,2,1,10.5142,134.57,3.77,PC
KIC_2708176,2708176,1,0,1.89129,132.67,4.393,AFP
KIC_2708203,2708203,1,0,1.89125,132.685,2.754,AFP
KIC_2708221,2708221,1,0,1.89116,132.749,4.295,AFP
KIC_2708270,2708270,1,0,1.89126,132.701,3.321,AFP
KIC_2717483,2717483,1,0,0.737176,132.07,2.233,AFP
KIC_2717483,2717483,2,0,0.737207,131.567,2.0,AFP
KIC_2849805,2849805,1,1,3.7491,135.109,1.825,PC
KIC_2969638,2969638,2,0,1.97359,132.489,3.858,AFP
KIC_2969991,2969991,1,0,3.40982,134.645,5.845,AFP
KIC_2969991,2969991,2,0,3.4096,133.167,7.548,AFP
KIC_1431794,1431794,3,0,0.515946,131.955,1.47,NTP
KIC_1718189,1718189,2,1,13.0607,137.635,3.18,PC
KIC_1718189,1718189,3,1,86.7239,195.348,4.742,PC
KIC_1718290,1718290,1,0,0.877347,131.644,1.486,AFP
KIC_1995519,1995519,1,1,19.9402,142.346,3.778,PC
KIC_1995732,1995732,1,0,77.3624,139.096,12.14,AFP
KIC_1995732,1995732,2,0,77.3609,171.323,13.62,AFP
KIC_1996180,1996180,1,1,3.02558,134.368,2.968,PC
KIC_2158208,2158208,3,0,0.76799,131.935,3.074,AFP
KIC_2159700,2159700,1,0,516.139,379.727,7.001,NTP
KIC_2159852,2159852,1,0,1.38532,132.016,3.077,AFP
KIC_2437060,2437060,1,0,3.1871,132.85,6.963,AFP
KIC_2437112,2437112,1,0,18.7983,138.024,4.21,AFP
KIC_2437112,2437112,2,0,9.39923,137.833,3.956,AFP
KIC_2445975,2445975,1,0,3.38886,131.596,2.384,AFP
KIC_2445975,2445975,2,0,3.38932,131.674,2.061,AFP
KIC_2570767,2570767,1,0,1.89121,132.704,4.922,AFP
KIC_2570773,2570773,1,0,1.89136,132.632,3.882,AFP
KIC_2581457,2581457,1,0,2.61751,132.1,4.801,AFP
KIC_2581457,2581457,2,0,2.61682,133.353,9.011,AFP
KIC_2581554,2581554,1,1,47.1484,175.269,3.167,PC
KIC_2708278,2708278,1,0,1.89122,132.718,3.915,AFP
KIC_2708286,2708286,1,0,1.89131,132.66,4.006,AFP
KIC_2708343,2708343,1,0,1.89128,132.681,4.222,AFP
KIC_2718630,2718630,2,0,1.29898,132.631,3.25,AFP
KIC_2718630,2718630,3,0,1.29904,132.102,3.035,AFP
KIC_2718778,2718778,1,1,3.92453,132.398,3.526,PC
KIC_2851100,2851100,1,0,0.890086,132.384,0.9813,AFP
KIC_2851100,2851100,2,0,0.890067,131.944,1.069,AFP
KIC_2852528,2852528,1,0,11.9616,131.895,3.239,AFP
KIC_2852560,2852560,1,0,11.9613,131.913,3.0,AFP
KIC_2852560,2852560,2,0,11.9613,140.456,7.873,AFP
KIC_2970836,2970836,1,0,1.65939,132.443,5.779,AFP
KIC_2970836,2970836,2,0,1.65936,132.951,9.4,AFP
KIC_2971415,2971415,1,0,7.35592,138.691,14.58,AFP
KIC_1432214,1432214,1,0,161.788,214.039,5.299,AFP
KIC_1432214,1432214,2,0,161.778,230.891,7.596,AFP
KIC_1432789,1432789,1,1,9.93142,136.492,5.967,PC
KIC_1432789,1432789,2,1,4.5783,132.305,3.867,PC
KIC_1718290,1718290,2,0,0.877386,131.845,1.589,AFP
KIC_1718290,1718290,3,0,0.877344,132.185,1.045,AFP
KIC_1718594,1718594,1,0,2.71872,132.792,6.884,AFP
KIC_1718594,1718594,2,0,2.71862,131.762,5.966,AFP
KIC_1996180,1996180,2,1,5.42204,133.459,2.817,PC
KIC_1996679,1996679,1,0,145.563,146.059,5.745,AFP
KIC_1996679,1996679,2,0,145.556,275.978,5.969,AFP
KIC_2159852,2159852,2,0,1.38525,132.327,2.187,AFP
KIC_2159852,2159852,3,0,1.38531,131.756,2.111,AFP
KIC_2161536,2161536,1,1,16.8559,138.268,2.372,PC
KIC_2161623,2161623,1,0,2.28355,132.301,3.5,AFP
KIC_2300603,2300603,1,0,3.25022,132.681,3.965,AFP
KIC_2300603,2300603,2,0,3.25184,134.373,5.714,AFP
KIC_2300603,2300603,3,0,3.25145,132.824,6.498,AFP
KIC_2300603,2300603,4,0,3.25154,133.939,12.0,AFP
KIC_2437112,2437112,3,0,3.1874,132.802,6.235,AFP
KIC_2437149,2437149,1,0,18.7987,138.026,6.0,AFP
KIC_2437149,2437149,2,0,18.7986,147.228,5.0,AFP
KIC_2445975,2445975,3,0,3.38859,134.859,1.663,AFP
KIC_2446113,2446113,1,0,6.71724,137.414,2.71,AFP
KIC_2446113,2446113,2,1,23.1377,152.161,3.625,PC
KIC_2446623,2446623,1,0,175.066,179.044,4.526,AFP
KIC_2571075,2571075,1,0,1.89134,132.674,3.143,AFP
KIC_2571238,2571238,1,1,9.28697,135.994,3.369,PC
KIC_2571417,2571417,1,0,3.77813,132.049,8.408,AFP
KIC_2571417,2571417,2,0,3.77795,135.371,15.52,AFP
KIC_2581674,2581674,1,0,0.695242,131.93,1.544,AFP
KIC_2581674,2581674,2,0,0.695246,132.168,2.023,AFP
KIC_2581674,2581674,3,0,0.695219,131.728,2.466,AFP
KIC_2708420,2708420,1,0,1.89125,132.696,3.52,AFP
KIC_2708445,2708445,1,0,1.89121,132.72,3.234,AFP
KIC_2718944,2718944,1,0,0.693213,131.693,1.874,AFP
KIC_2718944,2718944,2,0,0.69317,131.957,1.96,AFP
KIC_2719125,2719125,1,0,1.84493,131.813,3.987,AFP
KIC_2852560,2852560,3,0,23.9225,143.676,15.0,AFP
KIC_2852560,2852560,4,0,23.9225,131.709,15.0,AFP
KIC_2852810,2852810,1,0,4.75461,135.516,14.94,NTP
KIC_2973386,2973386,1,1,31.0207,138.019,1.833,PC
KIC_2973509,2973509,1,0,6.62761,132.547,6.127,AFP
KIC_2973509,2973509,2,0,6.62754,135.431,5.0,AFP
KIC_2973800,2973800,1,0,459.281,260.268,5.312,NTP
KIC_1433399,1433399,1,0,2.12652,133.524,7.24,AFP
KIC_1433399,1433399,2,0,2.12643,132.131,7.438,AFP
KIC_1433399,1433399,3,0,2.12646,132.854,7.05,AFP
KIC_1718594,1718594,3,0,0.922481,131.681,1.122,NTP
KIC_1718958,1718958,1,1,1.41976,132.923,1.525,PC
KIC_1719308,1719308,1,0,36.5714,164.867,15.41,NTP
KIC_1720673,1720673,1,0,572.875,290.528,6.0,NTP
KIC_1996773,1996773,1,0,624.57,341.895,24.5,NTP
KIC_2010191,2010191,1,0,3.43523,132.643,2.733,AFP
KIC_2010414,2010414,1,0,2.55561,132.674,5.603,AFP
KIC_2010414,2010414,2,0,2.55585,133.46,5.425,AFP
KIC_2302548,2302548,1,1,10.3812,133.069,2.783,PC
KIC_2302548,2302548,2,1,24.5708,135.875,2.746,PC
KIC_2437488,2437488,1,0,14.4702,141.803,5.503,AFP
KIC_2437488,2437488,2,0,14.4701,134.581,7.872,AFP
KIC_2437505,2437505,1,0,21.4764,149.262,4.813,AFP
KIC_2447832,2447832,1,0,0.921376,132.153,3.167,AFP
KIC_2447832,2447832,2,0,0.921383,131.684,5.56,AFP
KIC_2571417,2571417,3,0,3.77578,134.134,14.88,AFP
KIC_2571417,2571417,4,0,13.8807,132.059,1.945,NTP
KIC_2583153,2583153,1,0,0.636799,131.577,1.876,AFP
KIC_2583153,2583153,2,0,0.636857,131.853,2.661,AFP
KIC_2708885,2708885,1,0,1.1469,132.283,1.732,AFP
KIC_2710327,2710327,1,0,498.701,181.434,3.682,NTP
KIC_2710406,2710406,1,0,4.25399,132.395,14.88,AFP
KIC_2719125,2719125,2,0,1.845,132.5,6.315,AFP
KIC_2719436,2719436,1,0,0.745257,131.928,1.912,NTP
KIC_2719873,2719873,1,0,17.2793,135.274,5.106,AFP
KIC_2719873,2719873,2,0,17.2793,143.895,4.234,AFP
KIC_2852941,2852941,2,1,2.89496,132.621,3.087,PC
KIC_2853029,2853029,1,1,72.9332,198.113,3.835,PC
KIC_2853093,2853093,1,1,161.528,198.0,3.646,PC
KIC_2853280,2853280,1,0,1.32105,132.002,2.223,AFP
KIC_2975770,2975770,2,1,369.079,298.39,5.357,PC
KIC_2976017,2976017,1,1,3.19942,133.002,1.647,PC
KIC_1433899,1433899,1,0,0.520742,131.698,2.15,NTP
KIC_1433962,1433962,1,0,1.59262,132.336,3.444,AFP
KIC_1721157,1721157,1,1,3.44926,133.386,1.5,PC
KIC_1721361,1721361,1,0,3.02232,133.055,11.8,NTP
KIC_2010414,2010414,3,0,2.55504,132.272,5.947,AFP
KIC_2010414,2010414,4,0,2.55599,131.545,7.808,AFP
KIC_2162635,2162635,2,0,3.30306,133.252,16.56,NTP
KIC_2162904,2162904,1,0,1.53979,132.295,4.257,AFP
KIC_2162904,2162904,2,0,0.64796,131.937,2.128,NTP
KIC_2162904,2162904,3,0,1.53978,131.802,4.637,AFP
KIC_2303304,2303304,1,0,0.555037,132.054,2.032,NTP
KIC_2303365,2303365,1,0,0.520683,131.805,1.122,AFP
KIC_2303365,2303365,2,0,0.520697,132.001,1.223,AFP
KIC_2303365,2303365,3,0,0.520703,131.583,1.5,AFP
